,country,restaurant_cnt,cuisine,cuisine_cnt
475,Portugal,32592,Pakistani,22.0
476,Romania,7842,Pakistani,1.0
477,Spain,157479,Pakistani,156.0
478,Sweden,18555,Pakistani,31.0
479,The Netherlands,29792,Pakistani,17.0
480,United Kingdom,171664,Pakistani,895.0
481,Austria,20487,Afghani,15.0
482,Belgium,23711,Afghani,10.0
483,Bulgaria,4469,Afghani,1.0
484,Croatia,8375,Afghani,2.0
485,Czech Republic,14844,Afghani,2.0
486,Denmark,9485,Afghani,4.0
487,Finland,7372,Afghani,5.0
488,France,155288,Afghani,79.0
489,Germany,115333,Afghani,81.0
490,Greece,33763,Afghani,4.0
491,Hungary,7431,Afghani,4.0
492,Ireland,11203,Afghani,11.0
493,Italy,224763,Afghani,67.0
494,Poland,24698,Afghani,9.0
495,Portugal,32592,Afghani,14.0
496,Romania,7842,Afghani,2.0
497,Slovakia,4251,Afghani,3.0
498,Spain,157479,Afghani,73.0
499,Sweden,18555,Afghani,15.0
500,The Netherlands,29792,Afghani,30.0
501,United Kingdom,171664,Afghani,157.0
502,Austria,20487,Middle Eastern,200.0
503,Belgium,23711,Middle Eastern,342.0
504,Bulgaria,4469,Middle Eastern,40.0
505,Croatia,8375,Middle Eastern,16.0
506,Czech Republic,14844,Middle Eastern,51.0
507,Denmark,9485,Middle Eastern,133.0
508,Finland,7372,Middle Eastern,113.0
509,France,155288,Middle Eastern,2903.0
510,Germany,115333,Middle Eastern,1594.0
511,Greece,33763,Middle Eastern,144.0
512,Hungary,7431,Middle Eastern,79.0
513,Ireland,11203,Middle Eastern,107.0
514,Italy,224763,Middle Eastern,984.0
515,Poland,24698,Middle Eastern,154.0
516,Portugal,32592,Middle Eastern,94.0
517,Romania,7842,Middle Eastern,104.0
518,Slovakia,4251,Middle Eastern,12.0
519,Spain,157479,Middle Eastern,729.0
520,Sweden,18555,Middle Eastern,304.0
521,The Netherlands,29792,Middle Eastern,335.0
522,United Kingdom,171664,Middle Eastern,3150.0
523,Austria,20487,Japanese,285.0
524,Belgium,23711,Japanese,481.0
525,Bulgaria,4469,Japanese,45.0
526,Croatia,8375,Japanese,47.0
527,Czech Republic,14844,Japanese,173.0
528,Denmark,9485,Japanese,359.0
529,Finland,7372,Japanese,168.0
530,France,155288,Japanese,4831.0
531,Germany,115333,Japanese,1595.0
532,Greece,33763,Japanese,186.0
533,Hungary,7431,Japanese,83.0
534,Ireland,11203,Japanese,123.0
535,Italy,224763,Japanese,4479.0
536,Poland,24698,Japanese,631.0
537,Portugal,32592,Japanese,771.0
538,Romania,7842,Japanese,81.0
539,Slovakia,4251,Japanese,72.0
540,Spain,157479,Japanese,3032.0
541,Sweden,18555,Japanese,560.0
542,The Netherlands,29792,Japanese,846.0
543,United Kingdom,171664,Japanese,1797.0
544,Austria,20487,Sushi,383.0
545,Belgium,23711,Sushi,360.0
546,Bulgaria,4469,Sushi,85.0
547,Croatia,8375,Sushi,43.0
548,Czech Republic,14844,Sushi,163.0
549,Denmark,9485,Sushi,348.0
550,Finland,7372,Sushi,178.0
551,France,155288,Sushi,2496.0
552,Germany,115333,Sushi,2319.0
553,Greece,33763,Sushi,206.0
554,Hungary,7431,Sushi,52.0
555,Ireland,11203,Sushi,97.0
556,Italy,224763,Sushi,4446.0
557,Poland,24698,Sushi,545.0
558,Portugal,32592,Sushi,788.0
559,Romania,7842,Sushi,72.0
560,Slovakia,4251,Sushi,59.0
561,Spain,157479,Sushi,2524.0
562,Sweden,18555,Sushi,597.0
563,The Netherlands,29792,Sushi,871.0
564,United Kingdom,171664,Sushi,1145.0
565,Austria,20487,Asian,884.0
566,Belgium,23711,Asian,1533.0
567,Bulgaria,4469,Asian,93.0
568,Croatia,8375,Asian,103.0
569,Czech Republic,14844,Asian,578.0
570,Denmark,9485,Asian,489.0
571,Finland,7372,Asian,536.0
572,France,155288,Asian,9560.0
573,Germany,115333,Asian,5679.0
574,Greece,33763,Asian,395.0
575,Hungary,7431,Asian,230.0
576,Ireland,11203,Asian,862.0
577,Italy,224763,Asian,5190.0
578,Poland,24698,Asian,923.0
579,Portugal,32592,Asian,1019.0
580,Romania,7842,Asian,183.0
581,Slovakia,4251,Asian,124.0
582,Spain,157479,Asian,5222.0
583,Sweden,18555,Asian,1080.0
584,The Netherlands,29792,Asian,2560.0
585,United Kingdom,171664,Asian,16415.0
586,Austria,20487,Contemporary,329.0
587,Belgium,23711,Contemporary,416.0
588,Bulgaria,4469,Contemporary,71.0
589,Croatia,8375,Contemporary,57.0
590,Czech Republic,14844,Contemporary,195.0
591,Denmark,9485,Contemporary,169.0
592,Finland,7372,Contemporary,108.0
593,France,155288,Contemporary,1766.0
594,Germany,115333,Contemporary,1079.0
595,Greece,33763,Contemporary,324.0
596,Hungary,7431,Contemporary,62.0
597,Ireland,11203,Contemporary,301.0
598,Italy,224763,Contemporary,2217.0
599,Poland,24698,Contemporary,424.0
600,Portugal,32592,Contemporary,1030.0
601,Romania,7842,Contemporary,70.0
602,Slovakia,4251,Contemporary,105.0
603,Spain,157479,Contemporary,2665.0
604,Sweden,18555,Contemporary,229.0
605,The Netherlands,29792,Contemporary,642.0
606,United Kingdom,171664,Contemporary,2406.0
607,Austria,20487,Neapolitan,30.0
608,Belgium,23711,Neapolitan,25.0
609,Bulgaria,4469,Neapolitan,3.0
610,Croatia,8375,Neapolitan,12.0
611,Czech Republic,14844,Neapolitan,22.0
612,Denmark,9485,Neapolitan,12.0
613,Finland,7372,Neapolitan,12.0
614,France,155288,Neapolitan,249.0
615,Germany,115333,Neapolitan,108.0
616,Greece,33763,Neapolitan,69.0
617,Hungary,7431,Neapolitan,16.0
618,Ireland,11203,Neapolitan,19.0
619,Italy,224763,Neapolitan,4950.0
620,Poland,24698,Neapolitan,84.0
621,Portugal,32592,Neapolitan,31.0
622,Romania,7842,Neapolitan,22.0
623,Slovakia,4251,Neapolitan,4.0
624,Spain,157479,Neapolitan,382.0
625,Sweden,18555,Neapolitan,33.0
626,The Netherlands,29792,Neapolitan,36.0
627,United Kingdom,171664,Neapolitan,278.0
628,Austria,20487,Campania,28.0
629,Belgium,23711,Campania,25.0
630,Bulgaria,4469,Campania,4.0
631,Croatia,8375,Campania,11.0
632,Czech Republic,14844,Campania,22.0
633,Denmark,9485,Campania,12.0
634,Finland,7372,Campania,10.0
635,France,155288,Campania,251.0
636,Germany,115333,Campania,112.0
637,Greece,33763,Campania,68.0
638,Hungary,7431,Campania,16.0
